Nome;Autore
Il Signore degli Anelli;J.R.R. Tolkien
1984;George Orwell
Il nome della rosa;Umberto Eco
Cent'anni di solitudine;Gabriel García Márquez
Orgoglio e pregiudizio;Jane Austen
Delitto e castigo;Fëdor Dostoevskij
Il cacciatore di aquiloni;Khaled Hosseini
Se questo è un uomo;Primo Levi
La metamorfosi;Franz Kafka
Il ritratto di Dorian Gray;Oscar Wilde
Don Chisciotte della Mancia;Miguel de Cervantes
Il barone rampante;Italo Calvino
Harry Potter e la pietra filosofale;J.K. Rowling
Fahrenheit 451;Ray Bradbury
I promessi sposi;Alessandro Manzoni
Il vecchio e il mare;Ernest Hemingway
Guerra e pace;Lev Tolstoj
Uno, nessuno e centomila;Luigi Pirandello
L'ombra del vento;Carlos Ruiz Zafón
Cime tempestose;Emily Brontë
Moby Dick;Herman Melville
Il piccolo principe;Antoine de Saint-Exupéry
Anna Karenina;Lev Tolstoj
Lo straniero;Albert Camus
I miserabili;Victor Hugo
Alla ricerca del tempo perduto;Marcel Proust
Il grande Gatsby;F. Scott Fitzgerald
Madame Bovary;Gustave Flaubert
Le avventure di Alice nel Paese delle Meraviglie;Lewis Carroll
Il conte di Montecristo;Alexandre Dumas
Frankenstein;Mary Shelley
Dracula;Bram Stoker
I fratelli Karamazov;Fëdor Dostoevskij
Il buio oltre la siepe;Harper Lee
Jane Eyre;Charlotte Brontë
I viaggi di Gulliver;Jonathan Swift
Sulla strada;Jack Kerouac
Il profumo;Patrick Süskind
Cecità;José Saramago
L'alchimista;Paulo Coelho
La fattoria degli animali;George Orwell
Il maestro e Margherita;Michail Bulgakov
Siddharta;Hermann Hesse
La coscienza di Zeno;Italo Svevo
I dolori del giovane Werther;Johann Wolfgang von Goethe
Il richiamo della foresta;Jack London
Ventimila leghe sotto i mari;Jules Verne
Memorie di una geisha;Arthur Golden
Il fu Mattia Pascal;Luigi Pirandello
Odissea;Omero
